sgRNA1_ID	sgRNA2_ID	PILOT_100X_D14_WT	PILOT_500X_D14_WT	PILOT_PCR500X_D14_WT	PILOT_100X_D14_M6	PILOT_500X_D14_M6	PILOT_PCR500X_D14_M6	PILOT_100X_D14_M7	PILOT_500X_D14_M7	PILOT_PCR500X_D14_M7
1073038903	984419005	0.852206	0.952544	1.29114	0.837275	1.0658	0.683996	1.32643	1.54512	1.58109
1081589092	1102715706	0.354044	0.573578	0.948152	0	0.828855	0	1.17094	0.934013	0.892806
946545312	1068153226	0.0931769	0.34329	0.543211	0.753258	0.647668	0.638223	0.805259	0.871584	1.05793
1120650895	1052275928	0.399396	0.697166	0.428414	0.0257711	0.587662	0.115704	1.09666	0.793497	0.815098
990322473	1063693293	0.782354	0.523514	0.634401	0.343958	0.347673	0.43556	0.788178	0.46143	0.619806
1125284523	1093329131	0.935313	0.85812	1.05306	0.687618	0.558474	0.549623	0.866934	0.747405	0.764008
970239978	997425753	0.985828	0.837731	0.99298	0.577547	0.862395	0.749218	0.958041	0.969283	0.988144
1097395913	1058455100	0.44116	0.356077	0.486878	0.643641	0.693138	0.880082	0.528647	1.0544	0.966245
1120325338	1126235648	0.34232	0.301613	0.260051	0.938732	0.843995	0.497935	0.94883	0.536079	-0.0562862
926777464	1063220798	0.497445	0.679748	0.439243	0.514918	0.331061	0.305588	-0.0442094	0.509928	0.542751
951756852	1013940258	0.28217	0.201168	0.113693	0.300237	0.277296	0.301902	0.613295	0.645884	0.764404
936887776	1055778536	0.775719	0.439223	0.557001	0.624567	0.963775	0.468934	0.766244	0.776281	0.769655
957684391	987951377	0.312886	0.606682	0.356201	0.720601	0.595532	0.505431	1.01995	1.00364	0.856771
925278095	1127528405	1.2292	1.27996	1.32414	1.04807	1.1184	1.20277	1.49018	1.30376	1.21991
949574523	986377309	0.765723	0.47491	0.910012	0.713675	0.442428	0.607667	1.42385	1.03444	0.829557
1008494110	1073964058	0.908266	0.852789	0.848462	1.01962	0.913013	0.995912	1.20766	1.12554	0.860005
