sgRNA1_ID	sgRNA2_ID	PILOT_100X_D14_WT	PILOT_500X_D14_WT	PILOT_PCR500X_D14_WT	PILOT_100X_D14_M6	PILOT_500X_D14_M6	PILOT_PCR500X_D14_M6	PILOT_100X_D14_M7	PILOT_500X_D14_M7	PILOT_PCR500X_D14_M7
1051655566	CTRL00054	-2.572772273	-1.22065973	-2.462342464	-2.423449681	-1.979391404	-2.825061611	-1.983148787	-2.141838345	-4.398001964
1154994009	CTRL00161	-2.825988667	-2.638327356	-2.644767808	-2.779549683	-3.287639922	-2.796053985	-3.647125584	-2.489442923	-2.837983467
1154994722	CTRL00161	-2.402896862	-2.241424728	-2.603054803	-2.105938411	-2.417106084	-2.5103628	-1.767423493	-2.574246846	-2.293720579
1200057466	CTRL00757	-0.593400296	-1.056762755	-0.035811689	-1.436085741	-1.001978834	-1.477040217	-0.951763779	-1.861572747	-1.658632592
1200057471	CTRL00757	-0.257051263	-0.478164778	-0.376211159	-1.127215637	-1.001351363	-1.105514914	-0.548365241	-0.831256436	-1.07650056
1056169954	CTRL00678	-2.351440312	-2.64436678	-2.542414178	-3.528141066	-2.660138063	-4.228756865	-2.44842539	-2.054009466	-1.348136821
1056170093	CTRL00678	-2.388717804	-2.073091981	-1.924681848	-2.98417427	-2.510318572	-3.510554784	-2.820767741	-1.745777151	-4.241315964
1139932010	CTRL00712	-1.618857738	-0.882323819	-1.070370223	-2.324924411	-1.802031625	-2.566674292	-0.327945956	-1.485616171	-1.969974909
1139934070	CTRL00712	-0.738775994	-1.137548979	-0.952847455	-2.836493618	-2.823895112	-2.47952584	-2.291030447	-2.284712896	-3.412661441
1074131602	CTRL00232	-2.794855708	-1.947200747	-0.630965836	-1.710745897	-2.31885938	-1.938815562	-2.497498668	-2.671072325	-2.533767021
1074131487	CTRL00232	-2.446231466	-2.041271773	-1.554989062	-2.971698496	-2.560432513	-4.146426874	-1.674322687	-2.588941633	-3.247250654
1064237175	CTRL00946	-0.332841758	0.200416891	-0.492321537	-0.139747367	-0.473000757	-1.255653631	-0.318855501	-0.113629415	-0.317877554
1064239348	CTRL00946	-0.469908047	-0.060890687	-0.0389276	-0.508703883	-0.576658348	-0.327727049	-0.190790456	-0.147244718	-0.569581174
967797954	CTRL00656	0.265646311	0.303185903	0.014729633	0.058844063	-0.05443565	0.115786292	0.209031751	0.519764087	0.990605161
967799738	CTRL00656	-0.164778243	-0.141356227	-0.16024295	-0.181109208	-0.467574136	0.030789829	0.321369206	-0.022302843	0.512392252
1013442099	CTRL00123	0.062930623	-0.31629976	0.274128211	-0.892766986	-0.00612772	-0.274931709	0.081406009	0.018918471	0.031046409
1013444593	CTRL00123	-1.384237195	-0.491468048	-1.533493427	-1.719702227	-1.479689768	-1.61244007	-1.010211017	-1.908810128	-1.436081247
1142845697	CTRL00068	-1.406099907	-0.335117886	-0.529341806	-3.283194537	-2.620773698	-3.829885459	-3.758869538	-2.284299584	-3.65746222
1142845696	CTRL00068	-2.005188204	-2.167385366	-2.165887238	-2.878907422	-2.69441859	-5.007534885	-2.985962797	-2.574875256	-2.730641618
997987926	CTRL00655	-0.321026138	0.22987746	0.217368779	-1.321089061	-1.303399959	-1.654554316	0.031265702	0.423719291	0.087762415
997987181	CTRL00655	-2.497846241	-1.468715187	-0.776572363	-2.403725923	-1.835647684	-1.634982461	-2.266504799	-2.003723078	-1.748940215
966403761	CTRL00929	-1.768471635	-2.073946396	-2.785798257	-2.446176825	-2.784871302	-2.886810374	-2.749079784	-3.276867113	-2.165844467
966404603	CTRL00929	-2.651475129	-2.063653759	-1.662387693	-1.978760759	-2.232790979	-1.929367108	-2.026962688	-2.268877083	-3.029504915
1149616605	CTRL00490	-2.777627669	-1.824659	-3.054529314	-2.508050319	-3.546159416	-2.23631158	-2.923261408	-3.058719931	-2.97362924
1149616599	CTRL00490	-3.792726377	-2.272320897	-2.326385523	-2.986573802	-3.829118821	-4.257020403	-2.862318711	-3.262060476	-2.687707958
1200279693	CTRL00370	-0.690851833	-0.992716529	-0.96710708	-1.247606845	-1.437295797	-2.083479454	-0.781777471	-1.064064147	0.371388557
1200279801	CTRL00370	0.035135405	0.160676773	0.465637483	-1.919950804	-1.676931681	-1.380118679	0	0.557674344	0
999333895	CTRL00585	-1.565722291	-1.637813062	-2.492414965	-1.722552872	-2.075783572	-1.357568844	-1.90305186	-2.289393911	-2.556377609
999333719	CTRL00585	-0.831423679	-0.459818427	-0.610289997	-0.833797455	-1.338889216	-1.617176831	-0.593803081	-0.681523761	-0.936787655
1165849955	CTRL00761	-0.923512011	-0.963615971	-2.042669223	-1.200486277	-1.211366363	-1.868432804	-1.133255514	-1.279599437	-1.515032483
1165849399	CTRL00761	0.180225989	-0.105816251	-0.06938761	0.503446327	-0.409162706	-0.359548284	-0.144040801	-0.548221407	-0.900861632
1165489445	CTRL00804	-3.233325367	-2.661294046	-2.591272525	-2.127575517	-3.407444407	-2.804386316	-2.297969258	-2.201047382	-3.752598106
1165489414	CTRL00804	-2.804012856	-2.187645267	-2.926571034	-2.872517076	-2.490515905	-2.948292058	-3.451106808	-2.755622975	-1.844037269
962858903	CTRL00917	-2.500882305	-1.98729586	-3.274278094	-2.051250696	-2.645291594	-3.068378287	-2.819481521	-2.476941313	-3.124179593
962858554	CTRL00917	-0.522776398	-0.743731513	-1.272354033	-1.055025637	-1.690993747	-1.005197301	-2.214427223	-1.453209475	-1.173384122
953165190	CTRL00992	-0.717387546	-1.328452195	-0.936840877	-1.659834075	-2.178294098	-3.108491442	-0.816082957	-1.140067302	-0.934169692
953165196	CTRL00992	-2.757301888	-1.663405646	-2.275493031	-2.127287246	-1.89539997	-1.844194109	-1.842028928	-1.91847885	-1.549958784
1115987210	CTRL00164	-0.954131004	-0.480359715	-0.088128148	-1.006518739	-0.967886259	-0.465509836	0	0	0
1115987198	CTRL00164	-0.765956325	-0.374129443	-1.044736759	0.048882097	0.059555776	0.155781413	0.156024776	-0.220004215	-0.555163557
1083459630	CTRL00407	-2.711673516	-1.628092763	-3.020487989	-2.844912993	-2.085964653	-2.720439122	-4.051276126	-2.79000794	-2.108308731
1083459789	CTRL00407	0.259741938	0.060729836	-0.150329558	-0.237132733	-0.52503529	-0.556869063	-0.364833721	-0.08550175	-0.100886802
1096127231	CTRL00335	0.628821464	0.213538259	0.446430995	0.465352171	0.152765244	-0.003515099	-0.322458638	0.120574981	0.204428533
1096127328	CTRL00335	0.490870274	-0.090899565	-0.331031453	-0.131318663	-0.005371274	-0.604635161	0.303375128	0.136354038	0.078221602
1138362831	CTRL00794	-1.944687553	-1.67371678	-1.917651973	-2.485716127	-3.049542224	-3.68317953	-1.885913144	-3.119103098	-2.807858482
1138362931	CTRL00794	-2.009940628	-0.940877746	-1.370299989	-2.899500251	-1.150477125	-1.590714252	-1.191375535	-1.508738401	-1.972026993
1063444884	CTRL00934	-1.223285172	-0.938176608	-2.248150878	-1.473840705	-1.775715045	-1.819545808	-1.706412549	-1.324278357	-1.899761509
1063444454	CTRL00934	-0.559077103	-0.529149038	-1.477598236	-1.098542056	-0.935088841	-0.936651389	-1.453763019	-0.859179505	-1.415910929
934682084	CTRL00107	-1.377306455	-2.816646383	-2.150084262	-2.358041167	-3.77255412	-4.821531323	-1.819809711	-2.588406692	-2.686733221
934682764	CTRL00107	-2.622760455	-2.8679079	-2.660015117	-3.517651049	-3.962044361	-2.805660061	-2.157867485	-2.223110537	-4.153078047
1178552328	CTRL00975	-1.450229367	-0.282784182	0.282622385	-0.645315822	-0.095903162	-0.482509058	-1.05243958	-0.677891086	-0.705931742
1178552331	CTRL00975	-1.927004206	-0.948465408	-0.38093262	-1.287673736	-1.185110078	-1.117765002	-1.899396994	-1.297194669	-1.386450031
948323334	CTRL00221	0.578975503	0.6677144	0.529895104	-0.046952129	-0.82713841	-1.540708871	-0.676834646	-0.626709597	-0.963285145
948323342	CTRL00221	-0.354665804	-0.014000527	-0.680173415	-1.208080026	-0.267466873	-0.769276245	-0.314376729	-0.941953605	-0.859449733
1136204684	CTRL00821	-1.998938058	-1.809645504	-1.939149821	-1.540756571	-1.580557688	-1.798356039	-1.581240818	-1.643997688	-1.04718701
1136204884	CTRL00821	-0.870564257	-0.709376698	-0.672332308	-0.691306693	-1.005712791	-1.714741242	-0.450834666	-0.891180698	-0.551320261
927945556	CTRL00517	-1.169023283	-1.198617123	-0.559745561	-1.370970012	-1.74317033	-1.286697437	-0.964351693	-1.641590211	-2.059641107
927945562	CTRL00517	0.057086524	0.397030365	0.681988509	-0.508605336	-0.176832723	0.299533357	-0.089391268	0.037522411	-0.424133023
1003314729	CTRL00312	0.04074047	0.219876163	0.01404752	0.073143178	-0.11349017	-0.840798651	-0.207821896	0.528010895	-0.98806179
1003314971	CTRL00312	-0.422465882	-0.539698426	-0.755316635	-0.998225781	-0.751417278	-1.765792054	-1.213100808	-1.276236451	-1.672178847
1079042907	CTRL00628	0.346544663	1.099286844	1.170342174	-1.891108142	-1.990938799	-2.115548709	-0.62625013	-2.303325674	-2.133598725
1079042908	CTRL00628	-1.890746687	-2.610483222	-1.253587483	-4.620412096	-3.102015519	-3.805559953	-2.389011124	-2.321342802	-2.314808993
1166839554	CTRL00022	0.55534966	-0.249340163	0.271132185	-2.089158335	-2.121832487	-3.092605826	-2.935101681	-2.369639235	-2.630996152
1166839561	CTRL00022	0.248013259	0.209352922	-0.137717087	-2.913503301	-2.653934405	-3.147903936	-1.232422199	-1.460723906	0
927979829	CTRL00478	-2.246792572	-2.915585993	-2.405071661	-3.319596743	-2.9797932	-3.258613884	-3.184406428	-3.355899537	-2.799452304
