sgRNA1_ID	sgRNA2_ID	PILOT_100X_D14_R3_logFC_WT	PILOT_PCR500X_D14_R3_logFC_WT	PILOT_PCR500X_D14_R2_logFC_WT	PILOT_100X_D14_R2_logFC_WT	PILOT_PCR500X_D14_R1_logFC_WT	PILOT_100X_D14_R1_logFC_WT	PILOT_500X_D14_R2_logFC_WT	PILOT_500X_D14_R3_logFC_WT	PILOT_500X_D14_R1_logFC_WT	PILOT_100X_D14_R3_logFC_M6	PILOT_PCR500X_D14_R3_logFC_M6	PILOT_PCR500X_D14_R2_logFC_M6	PILOT_100X_D14_R2_logFC_M6	PILOT_PCR500X_D14_R1_logFC_M6	PILOT_100X_D14_R1_logFC_M6	PILOT_500X_D14_R2_logFC_M6	PILOT_500X_D14_R3_logFC_M6	PILOT_500X_D14_R1_logFC_M6	PILOT_100X_D14_R3_logFC_M7	PILOT_PCR500X_D14_R3_logFC_M7	PILOT_PCR500X_D14_R2_logFC_M7	PILOT_100X_D14_R2_logFC_M7	PILOT_PCR500X_D14_R1_logFC_M7	PILOT_100X_D14_R1_logFC_M7	PILOT_500X_D14_R2_logFC_M7	PILOT_500X_D14_R3_logFC_M7	PILOT_500X_D14_R1_logFC_M7
938003320	CTRL00204	-1.8540636155768553	-2.6377481804265845	-3.085106579639911	-2.769113823638537	-3.464738029873939	-3.028796891677731	-2.6243434557240293	-2.6729772139351984	-2.0595179283953926	-7.102383967695048	-5.4578129359652685	-2.51665294329136	-5.138995124933271	-7.102383967695048	-3.49436860255938	-3.814306713216641	-2.8559297087360536	-3.0991723186708247	-2.5487056981435456	-5.080147092164905	-2.5230045610335727	-2.4334110018274564	-2.4114793096120035	-1.3824677398817427	-2.994735427989761	-2.3027948007519656	-3.23645217750407
938003630	CTRL00204	-0.3141682507589832	-0.03801017930873727	-0.83296849955559	-0.8935679249383371	-1.1626270822421658	-1.3356571468576426	-0.3891780938863192	-0.742223271820741	-0.7215582607379145	-1.4069599130518482	-1.8840893836037016	-0.9318288288045117	-2.8360829193638746	-1.631314527300019	-2.028382377690042	-1.396986163571347	-1.446133024980768	-1.7596299275209055	-1.3555550127746663	-0.725166158058541	-2.965981342672865	-1.583817834841663	-1.9003813579595026	-1.490575051967609	-1.4754878445764683	-1.3677469646367975	-1.9617196728269664
1057734937	CTRL00542	-0.3543538878302303	-1.0776856653328395	-0.7567388277627973	-0.5968113236116572	-0.9365602239766931	-0.9393894941196222	-0.8477257180902866	-1.0314095932599865	-1.20600276558314	-1.6730322020310984	-3.195311708844568	-2.767702200583196	-0.7063510008485789	-2.168658998409266	-1.814447727482697	-1.2040731352354554	-2.178149674099332	-1.7739250038234426	-0.2416141870525535	-1.8842039347327229	-2.4227067871638464	-1.0931506594591485	-1.5605215920360038	-1.8678438789114218	-2.156480149907132	-1.6012590663513069	-1.5370640623682112
1057735374	CTRL00542	-0.715455329309614	-4.099610445079148	-0.6502692996787296	-0.3219654025761423	-1.1176790675089687	-1.2686541165220184	-1.132319007438966	-1.2848385574680017	-0.9367571229581683	-1.9277347609072204	-1.2488377035609497	-0.5246466096299316	-1.7387498684735487	-1.5655730387794025	-1.948065309682754	-1.0698201136024437	-1.3623829661266849	-1.0557836860090952	-0.4770192299896934	-0.5847089225453784	-1.3358686337048826	-2.332090529492723	-1.4108312370505591	-1.7385707387627842	-0.3525105838778253	-0.4817085164812096	-1.0160563754798644
923604459	CTRL00006	-0.6544593908796678	-1.1035825320652548	0.3403346325502374	-0.6659858192716693	-0.13989412529251388	-0.3083798888539765	-0.5259333640940418	-0.45515967879505254	-0.843205919016159	-0.4067544366992079	-0.4619230786046592	-0.5725321990701556	-1.5514764943969788	-1.5240412198714735	-0.7301898082500644	-0.5926845976482733	-0.14555044600496958	-0.444827892884524	0.05467976663356879	0.2803722809610739	0.6276583181500873	0.22797640635395114	0.9872244378606249	0.10324165677008326	0.2711584357997705	0.25126802518244495	0.3551149110029928
923602393	CTRL00006	-0.17592414130703307	-0.30360565137153467	0.27053660346910247	-0.19722105496667686	-0.11278155228320519	-0.3415982768387895	-0.026932587791524392	-0.17418269175398385	0.021353548702829763	-0.12404182606042105	-0.11445201977403313	0.5708187420981647	-0.6014424748142101	0.39228794766258634	-0.2910956463666504	-0.666866923205148	-0.20436589808767852	-0.5452546342556516	0.0034337469923234505	0.22715786397234633	0.051675840877043924	0.0661246101078271	0.3613974356532353	-0.15718134521301455	-0.08546941484806156	0.030878710887042516	0.09775505980923482
1029493410	CTRL00277	-3.0267484957527206	-2.287486340581411	-2.9530523981579	-1.9507190904465526	-2.048954234655618	-1.2342793689312477	-2.151793656256456	-2.3634998716740356	-1.844093794801694	-1.0791233510929026	-3.1415812496035183	-2.2230872428330843	-1.90836523503426	-1.045336385274762	-3.2200800803993532	-2.931246171151131	-1.9728691666705431	-1.6050131379859405	-1.7972728842773522	-1.6418278647851892	-2.575643554516083	-1.327298643545266	-1.5161892814775897	-1.6091926249874287	-1.5770131362168913	-1.5557412822793815	-1.1429463533703954
1029493591	CTRL00277	1.1863827495024861	0.9337833625772203	0.35344876810365633	1.0136209190788659	0.8568056677134258	1.07835080166898	1.307339793188209	0.9788132715244097	1.2301986040621797	-0.37901370656878336	-1.226783493213034	-1.439816459370674	-0.40950720514556477	-2.114928539168216	-0.3522769300962319	-1.2622427239822929	-1.0872188112558583	-0.7524510892270481	-0.8505882527044548	-1.079562206198588	-1.1958752204537173	-1.0578744588196707	-0.9006887797646177	-0.6023544205312245	-0.5985633203244058	-0.8071809956355183	-1.0578917429675827
944242742	CTRL00510	-6.526353563563577	-3.867257427491942	-3.3477224318748253	-4.5629647208018005	-4.63878318007996	-1.6011904707377338	-2.5235592222943963	-2.2798993046045823	-3.7955241404873745	-2.9542703898644938	-7.034002328408235	-3.145729299512548	-4.268565405038433	-2.9296074419469127	-3.4259869632725666	-3.276354950039725	-3.406842243848883	-2.5961068214289313	-3.1773131349263988	-2.0009929033637266	-3.066462515864099	-3.7781776716904276	-1.2774161322748	-1.9799028122098186	-3.2542507322009584	-1.8753133969355333	-3.878909952344981
944242745	CTRL00510	-1.682473488853663	-2.128280846196984	-2.2342862057977606	-2.6011571103742663	-2.0087327957231667	-1.6106944089192055	-3.162481536536571	-2.5089569712949498	-3.2671140702752886	-3.1606644497082055	-3.939373299153213	-2.7554733455861413	-5.377815527228053	-4.386954215525404	-4.3419610247596445	-3.7237571579110016	-4.601769576431868	-2.473710199538544	-2.4973808157494677	-2.3165482416520087	-2.8643499224058817	-2.7774806600433597	-2.2785731147380526	-3.428411384569377	-3.243138893123507	-3.473295590495133	-1.6999095403252997
