sgRNA1_ID	sgRNA2_ID	PILOT_100X_D14_WT	PILOT_500X_D14_WT	PILOT_PCR500X_D14_WT	PILOT_100X_D14_M6	PILOT_500X_D14_M6	PILOT_PCR500X_D14_M6	PILOT_100X_D14_M7	PILOT_500X_D14_M7	PILOT_PCR500X_D14_M7
927979829	CTRL00478	-2.70345	-3.05493	-2.29618	-3.1227	-3.06209	-3.47786	-3.40048	-3.352	-3.63563
927979824	CTRL00478	-2.36239	-2.0442	-2.16902	-2.91931	-3.17402	-3.3083	-3.01255	-2.66576	-2.37658
1135002027	CTRL01004	-0.935812	-1.35692	-1.19782	-1.75419	-1.98863	-2.29216	-1.47513	-1.11503	-1.63348
1135002030	CTRL01004	-1.66085	-1.23839	-1.60002	-1.68832	-1.50982	-2.74956	-1.50184	-1.42157	-1.08737
1114519383	CTRL00095	-0.348878	0.0360281	0.514901	-2.25857	-2.56478	-2.99601	-1.72763	-1.95979	-2.34258
1114519124	CTRL00095	0.688777	0.57853	1.07991	-1.1489	-0.629922	-0.306079	0.0235712	-0.45647	0.277692
1168720548	CTRL00883	-0.578681	-0.163554	0.104125	-1.43589	-1.35548	-1.44535	-0.306397	-0.165218	-0.0978624
1168720550	CTRL00883	0.876931	0.811857	0.888583	-0.707528	-1.27595	-1.03229	-0.28887	-0.256936	-0.275036
1103391995	CTRL00549	-1.97308	-1.56429	-1.00552	-1.23812	-2.36469	-1.60124	-1.60386	-2.10165	-2.62097
1103391998	CTRL00549	-0.79093	-1.589	-1.76158	-1.81698	-2.35783	-2.08431	-2.59807	-1.83848	-2.32982
1103492748	CTRL00152	-4.70792	-2.81073	-1.30122	-5.78551	-2.98413	-3.36267	-3.17894	-3.35062	-4.01764
1103492289	CTRL00152	0.0567457	-0.355434	-0.391112	-3.51102	-2.30726	-1.82941	-2.46289	-2.2256	0.716567
1117686426	CTRL00663	-2.68012	-3.22034	-3.08127	-3.49948	-3.44313	-4.67372	-3.16946	-2.86886	-3.9581
1117687604	CTRL00663	-2.69222	-1.67243	-2.2175	-2.09311	-2.88403	-2.69458	0.247612	0.408515	0.313227
914679091	CTRL00667	-2.05756	-2.6104	-2.35569	-1.53754	-2.90691	-3.66324	-1.2964	-1.83889	-3.35282
914679101	CTRL00667	-2.43222	-2.29043	-3.20497	-4.702	-3.74888	-4.2394	-3.58158	-2.47835	-2.18028
1128103975	CTRL00377	0.0774445	-0.647718	-1.14263	0.0260617	0.0784604	-0.242461	-0.411839	-0.0977041	-0.282267
1128103968	CTRL00377	0.875851	0.569283	0.201767	0.367813	0.0366945	0.245241	0.166988	0.0180465	0.586603
1142729684	CTRL00259	-2.73178	-2.80009	-3.58462	-2.23602	-3.04716	-2.57902	-2.64469	-2.54348	-2.98077
1142733077	CTRL00259	-2.64905	-1.20413	-1.77112	-1.75821	-1.60839	-1.38177	-1.46541	-1.42204	-1.24585
1114284803	CTRL00860	-0.328718	0.01166	-0.706939	-1.61137	-1.8003	-2.14241	-1.4872	-1.64588	-1.4954
1114282995	CTRL00860	-1.3317	-1.09665	-0.632895	-1.06002	-1.80791	-1.68563	-1.56086	-1.26507	-1.198
1083232399	CTRL00582	-1.30711	-0.672435	-0.918992	-1.09098	-1.12255	-1.20771	-1.24585	-1.15588	-1.14266
1083231249	CTRL00582	-1.04467	-0.961523	-0.430846	-1.3737	-1.50975	-2.61864	2.57883	0	-2.20341
1143149331	CTRL00162	-1.25035	-1.3543	-1.44818	-2.06253	-2.66844	-2.22905	-1.51607	-2.35311	-2.59401
1143149328	CTRL00162	-1.45256	-0.897588	-0.496568	-2.2523	-1.88841	-1.46076	-0.999976	-1.62146	-1.45911
1167355958	CTRL00771	-3.51063	-2.46902	-2.26468	-3.0112	-3.11055	-3.24856	-2.76966	-2.27496	-2.61635
1167356440	CTRL00771	-1.64268	-1.98027	-1.88908	-2.65397	-2.3468	-1.95477	-2.09467	-2.02824	-1.7748
1060598305	CTRL00601	-1.14707	-1.75899	-2.77517	-2.36357	-1.73118	-1.65993	-1.25317	-1.27776	-1.69732
1060597670	CTRL00601	-0.427004	-0.809377	-0.703852	-0.837346	-1.10503	-1.41014	-1.87373	-1.21203	-0.179235
1163533113	CTRL00519	-2.80411	-1.82354	-2.47912	-3.76078	-2.73197	-2.7992	-2.0789	-2.9621	-4.0527
1163533258	CTRL00519	-1.56649	-1.53875	-1.59503	-1.49159	-2.68476	-2.85311	-3.3797	-1.97003	-2.44656
936934128	CTRL00798	-2.22307	-1.75785	-2.42765	-2.82292	-1.76812	-4.03632	-1.75247	-1.97619	-2.84276
936933950	CTRL00798	0.24078	-0.0774558	0.0106757	-0.507039	-0.0901897	-0.176302	0.387857	0.167925	-0.802519
1092264167	CTRL00560	-2.46838	-3.48111	-3.52156	-3.19696	-2.48432	-2.71455	-3.44459	-2.60148	-4.40079
1092264173	CTRL00560	-1.48369	-2.28616	-2.12539	-2.85866	-2.67883	-2.56321	-2.82485	-2.44459	-2.85503
1042858714	CTRL00211	-1.59758	-2.00151	-1.64941	-2.74043	-2.5254	-4.12683	-1.69927	-2.01315	-3.52843
1042858566	CTRL00211	-1.9855	-0.528937	-0.893745	-3.02164	-2.55791	-1.34508	-3.37738	-2.03178	-3.40208
1031162765	CTRL00425	1.03767	0.919236	0.944294	-0.717997	-1.37378	-0.793645	-1.81164	-1.0936	-1.62153
1143587407	CTRL00425	0.28088	0.350134	0.6159	0.515044	0.464712	0.165733	0.33111	0.010346	0.284766
