sgRNA1_ID	sgRNA2_ID	PILOT_100X_D14_WT	PILOT_500X_D14_WT	PILOT_PCR500X_D14_WT	PILOT_100X_D14_M6	PILOT_500X_D14_M6	PILOT_PCR500X_D14_M6	PILOT_100X_D14_M7	PILOT_500X_D14_M7	PILOT_PCR500X_D14_M7
1056169954	CTRL00678	-3.412210407	-3.330919638	-3.36957333	-4.252159848	-3.719708949	-4.782308728	-3.692441267	-3.100168149	-2.6233559
1056170093	CTRL00678	-3.343771711	-2.873447032	-2.34837605	-3.594179635	-3.330890239	-4.359834128	-4.339530083	-3.000974255	-4.965745748
1139932010	CTRL00712	-1.977088931	-1.344744204	-1.554115055	-2.301892294	-1.99492298	-2.344456098	-1.573178876	-1.855785792	-2.018551959
1139934070	CTRL00712	-0.96493479	-1.511117219	-1.119775649	-3.042966871	-2.772285242	-2.903927375	-2.383197879	-2.476321466	-3.659444636
1074131602	CTRL00232	-2.613657326	-2.411801202	-1.833244616	-1.676355606	-2.508309531	-2.24269682	-3.033858869	-2.850991889	-2.713841578
1074131487	CTRL00232	-2.386863797	-2.444290754	-1.937594288	-3.416052161	-2.865862928	-4.161128757	-2.336125372	-3.423962732	-3.834443062
1064237175	CTRL00946	-0.305156277	-0.163608274	-0.426036881	-0.321699114	-0.7826088	-1.021452978	-0.12024447	-0.155335895	-0.017959669
1064239348	CTRL00946	-0.133512542	-0.273770154	-0.235038891	-1.025789078	-0.84323254	-0.751495798	-0.253892784	-0.36823116	-0.632503389
967797954	CTRL00656	0.463424834	0.257430248	0.70554836	0.533189084	0.476056276	0.512780174	0.696968491	0.505875393	0.77275369
967799738	CTRL00656	0.368960648	0.338664676	-0.047069597	0.174000789	-0.051019863	0.178510221	0.792190511	0.530877572	0.290256162
1013442099	CTRL00123	-0.104407231	-0.100088878	0.171654996	-1.074632553	-0.257078712	-0.393301014	0.358997868	0.258708075	0.184622842
1013444593	CTRL00123	-1.58212185	-0.901172205	-1.307078517	-1.323712136	-1.58624449	-1.42125574	-1.011705287	-1.673417383	-1.336608116
1142845697	CTRL00068	-2.208900731	-1.502762209	-1.564120819	-4.027551451	-3.577173454	-5.278675723	-4.384043265	-2.981949813	-4.6965464
1142845696	CTRL00068	-2.824184699	-2.877736671	-3.142091473	-3.071999642	-3.578331996	-5.509045866	-4.167415229	-3.619454832	-3.280897277
997987926	CTRL00655	0.216649311	0.203764756	-0.003317821	-1.050343036	-1.233747425	-1.446167559	0.173998929	0.592774017	0.531802659
997987181	CTRL00655	-2.381375322	-1.666714846	-1.619353806	-2.137766398	-1.746129533	-1.914350276	-1.638369685	-1.615407139	-2.230862847
966403761	CTRL00929	-1.576935891	-1.567257525	-2.478940025	-1.850905919	-2.459979724	-2.394692551	-2.369871911	-2.75190469	-2.009376694
966404603	CTRL00929	-2.306915086	-2.286036767	-1.823119054	-1.851605321	-2.377983879	-1.602408593	-1.760283094	-2.295591506	-2.692152856
1149616605	CTRL00490	-3.210190986	-2.433795816	-3.520936342	-2.157126829	-3.697061358	-2.423276152	-3.069019863	-3.298565552	-3.225130688
1149616599	CTRL00490	-4.355513618	-2.855953262	-2.900824184	-3.701300038	-4.253786229	-4.375207077	-3.143939341	-3.882076895	-3.093020173
1200279693	CTRL00370	-0.851879677	-0.984151935	-1.20499202	-1.14671848	-1.108265274	-2.076651618	-0.781097856	-1.021315619	-0.616814183
1200279801	CTRL00370	0.365757315	0.334101825	0.764764074	-1.513380401	-1.536238812	-1.208867975	0	0.557674344	0
