Sample,type,value
PILOT_PCR500X_D14_R2,sgrna_match_mismatch1,84.76349336982346
PILOT_PCR500X_D14_R2,sgrna_inconsistent,12.12201804447326
PILOT_PCR500X_D14_R2,swap,22.937732901841276
PILOT_PCR500X_D14_R2,swap_mismatch1,25.586433124961317
PILOT_PCR500X_D14_R2,scaffold_exist,72.94664912427989
PILOT_PCR500X_D14_R2,scaffold_exist_mismatch1,85.16162874565603
PILOT_PCR500X_D14_R2,scaffold_WT,46.53275378908814
PILOT_PCR500X_D14_R2,scaffold_MT6,12.322525809553166
PILOT_PCR500X_D14_R2,scaffold_MT7,14.091369525638584
PILOT_PCR500X_D14_R2,scaffold_WT_mismatch3,53.94008175961497
PILOT_PCR500X_D14_R2,scaffold_MT6_mismatch3,14.383429430397394
PILOT_PCR500X_D14_R2,scaffold_MT7_mismatch3,16.838117555643663
PILOT_PCR500X_D14_R2,swap_WT,10.801559205248989
PILOT_PCR500X_D14_R2,swap_MT6,3.5338880796540386
PILOT_PCR500X_D14_R2,swap_MT7,4.4264295217044145
PILOT_PCR500X_D14_R2,swap_WT_mismatch,13.999756106080374
PILOT_PCR500X_D14_R2,swap_MT6_mismatch,4.637783825420978
PILOT_PCR500X_D14_R2,swap_MT7_mismatch,6.026018211154531
PILOT_PCR500X_D14_R3,total_reads,1714904.0
PILOT_PCR500X_D14_R3,sgrna1_exists,93.99517407388403
PILOT_PCR500X_D14_R3,sgrna2_exists,81.78376165662917
PILOT_PCR500X_D14_R3,sgrna1_exists_mismatch1,97.95901111665725
PILOT_PCR500X_D14_R3,sgrna2_exists_mismatch1,87.51265376954045
PILOT_PCR500X_D14_R3,OEM1_exact,1.4902875029739275
PILOT_PCR500X_D14_R3,OEM1_mismatch,1.5617200729603522
PILOT_PCR500X_D14_R3,OEM2_exact,0.16648162229489233
PILOT_PCR500X_D14_R3,OEM2_mismatch,0.16648162229489233
PILOT_PCR500X_D14_R3,sgrna_match,78.21224978191199
PILOT_PCR500X_D14_R3,sgrna_match_mismatch1,86.9934410322677
PILOT_PCR500X_D14_R3,sgrna_inconsistent,10.620652817883682
PILOT_PCR500X_D14_R3,swap,23.256695418519055
PILOT_PCR500X_D14_R3,swap_mismatch1,25.98734389796747
PILOT_PCR500X_D14_R3,scaffold_exist,74.75852875729487
PILOT_PCR500X_D14_R3,scaffold_exist_mismatch1,87.30780265250999
PILOT_PCR500X_D14_R3,scaffold_WT,47.69135765034078
PILOT_PCR500X_D14_R3,scaffold_MT6,12.65569384641939
PILOT_PCR500X_D14_R3,scaffold_MT7,14.4114772605347
PILOT_PCR500X_D14_R3,scaffold_WT_mismatch3,55.3072941692363
PILOT_PCR500X_D14_R3,scaffold_MT6_mismatch3,14.792373217392926
PILOT_PCR500X_D14_R3,scaffold_MT7_mismatch3,17.208135265880774
PILOT_PCR500X_D14_R3,swap_WT,10.938513176247767
PILOT_PCR500X_D14_R3,swap_MT6,3.5795006600952592
PILOT_PCR500X_D14_R3,swap_MT7,4.4728451271907925
PILOT_PCR500X_D14_R3,swap_WT_mismatch,14.24073884019164
PILOT_PCR500X_D14_R3,swap_MT6_mismatch,4.699096859066163
PILOT_PCR500X_D14_R3,swap_MT7_mismatch,6.127048511170305
PILOT_PCR500X_D3,total_reads,1529728.0
PILOT_PCR500X_D3,sgrna1_exists,92.88095661450924
PILOT_PCR500X_D3,sgrna2_exists,80.18752353359552
PILOT_PCR500X_D3,sgrna1_exists_mismatch1,96.91049650656849
PILOT_PCR500X_D3,sgrna2_exists_mismatch1,85.58214270772321
PILOT_PCR500X_D3,OEM1_exact,1.369851372270103
PILOT_PCR500X_D3,OEM1_mismatch,1.4492118860346415
PILOT_PCR500X_D3,OEM2_exact,0.1297616308258723
PILOT_PCR500X_D3,OEM2_mismatch,0.1297616308258723
PILOT_PCR500X_D3,sgrna_match,76.67814147351686
PILOT_PCR500X_D3,sgrna_match_mismatch1,85.11415101246757
PILOT_PCR500X_D3,sgrna_inconsistent,11.44595640532173
PILOT_PCR500X_D3,swap,22.16439785373609
PILOT_PCR500X_D3,swap_mismatch1,24.77355451426659
PILOT_PCR500X_D3,scaffold_exist,72.68540550999917
