Gene1,Gene2,Scaffold,PILOT_100X_D14,PILOT_500X_D14,PILOT_PCR500X_D14
RPL32,NONTARGETING,Modified6,-3.9235433219532627,-3.155317887348016,-3.738759726098354
RPL34,NONTARGETING,Modified6,-2.646871678826769,-2.3240883387717863,-2.309715020531627
RPL35,NONTARGETING,Modified6,-1.6418676851147862,-1.2750243011768665,-1.221398771175966
RPL35A,NONTARGETING,Modified6,-2.2215575872712106,-1.9054913207019926,-2.6442325665988733
RPL36,NONTARGETING,Modified6,-3.4402780260002013,-3.3350891967657774,-3.48863216941035
RPL37,NONTARGETING,Modified6,-1.2716773859525219,-1.08708922306811,-0.8083454983895859
RPL37A,INTERGENIC,Modified6,-0.9984572388392755,-1.3819344980205805,-1.48336220989682
RPL38,INTERGENIC,Modified6,-0.5425259427128486,-0.465996306661893,-0.6868107616196842
RPL4,INTERGENIC,Modified6,-4.785692246966942,-3.1790549173823,-3.4686626680251695
RPL6,INTERGENIC,Modified6,-2.7148346780986863,-2.2689964027725953,-2.181248548104429
RPL7,NONTARGETING,Modified6,-4.566626337676926,-4.028628779031373,-4.204851759955489
RPL7A,NONTARGETING,Modified6,-3.2385727964879876,-2.6040461928313436,-2.2598341570095237
RPLP0,NONTARGETING,Modified6,-1.9163630466658577,-2.029371093743474,-1.5634913629586067
RPLP2,NONTARGETING,Modified6,-1.6692339442133703,-1.8948400645925791,-1.7887140954817113
RPN2,NONTARGETING,Modified6,-0.5244482047362897,-0.4941869289859003,-0.6247578770651893
RPP38,NONTARGETING,Modified6,-1.2140504751950056,-1.5956362911899253,-1.9084202345812198
RPP40,NONTARGETING,Modified6,-0.8087413491274227,-0.7460280682453024,-1.130557209379871
RPS11,NONTARGETING,Modified6,-3.3786282715346916,-2.715638091712641,-2.7712938509399363
RPS12,INTERGENIC,Modified6,-0.6919869299927697,-0.5032916524807343,-1.2467781112808827
RPS13,NONTARGETING,Modified6,-3.528790430985761,-2.7686498265160853,-2.9058247265846844
RPS14,INTERGENIC,Modified6,-1.515485429534541,-1.6810925720616066,-2.1211165588821532
RPS15,NONTARGETING,Modified6,-1.9633795986773848,-2.035280647152219,-1.354341593307253
RPS15A,NONTARGETING,Modified6,-1.7292157869543898,-1.829772275124681,-2.355156925023231
RPS18,NONTARGETING,Modified6,-2.907496707664416,-3.308892144424836,-3.14245654636856
RPS19,NONTARGETING,Modified6,-1.3541174084960739,-1.3663898077926764,-1.603981142171208
RPS20,INTERGENIC,Modified6,-5.173986332628029,-3.097979243773734,-3.8895668895589948
RPS24,NONTARGETING,Modified6,0.6963682570491292,0.5639829762175983,0.4952983307654742
RPS25,NONTARGETING,Modified6,-1.624978623952589,-1.932990491586469,-1.4171591022309733
RPS27A,NONTARGETING,Modified6,-3.3019367883142987,-3.4619131114382373,-5.133064622002859
RPS3,INTERGENIC,Modified6,-0.41407880521734514,-0.7481065682270704,-0.6542747728755672
RPS4X,NONTARGETING,Modified6,-3.64731458945106,-4.287094912142802,-3.5723365860737593
RPS5,NONTARGETING,Modified6,-3.1183087344733122,-2.9052082669237462,-3.016698336069196
RPS6,NONTARGETING,Modified6,-5.177220509984656,-3.810360187507399,-4.853241887502744
RPS7,INTERGENIC,Modified6,-1.3837210550844892,-1.0040560826174216,-0.752607947985734
RPS8,INTERGENIC,Modified6,-2.863096828667354,-2.2335426028453687,-2.2895074442074
